Distribution,Doors,Won % switch, Won % non-switch
normal,3,50.0,50.0
binomial,3,38.0,62.0
exponential,3,63.0,37.0
poisson,3,56.00000000000001,44.0
laplace,3,33.0,67.0
logistic,3,22.0,78.0
uniform,3,41.0,59.0
rayleigh,3,59.0,41.0
normal,13,89.0,11.0
binomial,13,93.0,7.000000000000001
exponential,13,94.0,6.0
poisson,13,96.0,4.0
laplace,13,88.0,12.0
logistic,13,95.0,5.0
uniform,13,95.0,5.0
rayleigh,13,95.0,5.0
normal,23,92.0,8.0
binomial,23,88.0,12.0
exponential,23,94.0,6.0
poisson,23,98.0,2.0
laplace,23,93.0,7.000000000000001
logistic,23,95.0,5.0
uniform,23,90.0,10.0
rayleigh,23,94.0,6.0
normal,33,97.0,3.0
binomial,33,98.0,2.0
exponential,33,93.0,7.000000000000001
poisson,33,94.0,6.0
laplace,33,93.0,7.000000000000001
logistic,33,95.0,5.0
uniform,33,98.0,2.0
rayleigh,33,99.0,1.0
normal,43,99.0,1.0
binomial,43,94.0,6.0
exponential,43,99.0,1.0
poisson,43,97.0,3.0
laplace,43,97.0,3.0
logistic,43,99.0,1.0
uniform,43,98.0,2.0
rayleigh,43,99.0,1.0
normal,53,99.0,1.0
binomial,53,98.0,2.0
exponential,53,98.0,2.0
poisson,53,100.0,0.0
laplace,53,100.0,0.0
logistic,53,98.0,2.0
uniform,53,99.0,1.0
rayleigh,53,97.0,3.0
normal,63,99.0,1.0
binomial,63,99.0,1.0
exponential,63,98.0,2.0
poisson,63,98.0,2.0
laplace,63,99.0,1.0
logistic,63,100.0,0.0
uniform,63,98.0,2.0
rayleigh,63,100.0,0.0
normal,73,99.0,1.0
binomial,73,100.0,0.0
exponential,73,98.0,2.0
poisson,73,96.0,4.0
laplace,73,99.0,1.0
logistic,73,98.0,2.0
uniform,73,95.0,5.0
rayleigh,73,100.0,0.0
normal,83,97.0,3.0
binomial,83,99.0,1.0
exponential,83,100.0,0.0
poisson,83,100.0,0.0
laplace,83,98.0,2.0
logistic,83,97.0,3.0
uniform,83,97.0,3.0
rayleigh,83,100.0,0.0
normal,93,100.0,0.0
binomial,93,99.0,1.0
exponential,93,98.0,2.0
poisson,93,99.0,1.0
laplace,93,100.0,0.0
logistic,93,100.0,0.0
uniform,93,98.0,2.0
rayleigh,93,98.0,2.0
normal,103,99.0,1.0
binomial,103,100.0,0.0
exponential,103,99.0,1.0
poisson,103,97.0,3.0
laplace,103,100.0,0.0
logistic,103,98.0,2.0
uniform,103,98.0,2.0
rayleigh,103,98.0,2.0
normal,113,98.0,2.0
binomial,113,99.0,1.0
exponential,113,100.0,0.0
poisson,113,97.0,3.0
laplace,113,99.0,1.0
logistic,113,100.0,0.0
uniform,113,97.0,3.0
rayleigh,113,98.0,2.0
normal,123,99.0,1.0
binomial,123,98.0,2.0
exponential,123,99.0,1.0
poisson,123,100.0,0.0
laplace,123,99.0,1.0
logistic,123,98.0,2.0
uniform,123,100.0,0.0
rayleigh,123,100.0,0.0
normal,133,99.0,1.0
binomial,133,100.0,0.0
exponential,133,100.0,0.0
poisson,133,98.0,2.0
laplace,133,98.0,2.0
logistic,133,99.0,1.0
uniform,133,100.0,0.0
rayleigh,133,99.0,1.0
normal,143,99.0,1.0
binomial,143,100.0,0.0
exponential,143,99.0,1.0
poisson,143,99.0,1.0
laplace,143,100.0,0.0
logistic,143,98.0,2.0
uniform,143,100.0,0.0
rayleigh,143,98.0,2.0
normal,153,99.0,1.0
binomial,153,99.0,1.0
exponential,153,100.0,0.0
poisson,153,99.0,1.0
laplace,153,98.0,2.0
logistic,153,99.0,1.0
uniform,153,100.0,0.0
rayleigh,153,99.0,1.0
normal,163,98.0,2.0
binomial,163,100.0,0.0
exponential,163,99.0,1.0
poisson,163,99.0,1.0
laplace,163,99.0,1.0
logistic,163,100.0,0.0
uniform,163,100.0,0.0
rayleigh,163,99.0,1.0
normal,173,99.0,1.0
binomial,173,100.0,0.0
exponential,173,100.0,0.0
poisson,173,97.0,3.0
laplace,173,98.0,2.0
logistic,173,100.0,0.0
uniform,173,100.0,0.0
rayleigh,173,100.0,0.0
normal,183,100.0,0.0
binomial,183,100.0,0.0
exponential,183,100.0,0.0
poisson,183,100.0,0.0
laplace,183,98.0,2.0
logistic,183,100.0,0.0
uniform,183,100.0,0.0
rayleigh,183,100.0,0.0
normal,193,100.0,0.0
binomial,193,100.0,0.0
exponential,193,99.0,1.0
poisson,193,100.0,0.0
laplace,193,99.0,1.0
logistic,193,98.0,2.0
uniform,193,100.0,0.0
rayleigh,193,100.0,0.0
normal,203,99.0,1.0
binomial,203,99.0,1.0
exponential,203,100.0,0.0
poisson,203,98.0,2.0
laplace,203,100.0,0.0
logistic,203,99.0,1.0
uniform,203,100.0,0.0
rayleigh,203,99.0,1.0
normal,213,100.0,0.0
binomial,213,100.0,0.0
exponential,213,100.0,0.0
poisson,213,100.0,0.0
laplace,213,99.0,1.0
logistic,213,99.0,1.0
uniform,213,100.0,0.0
rayleigh,213,99.0,1.0
normal,223,99.0,1.0
binomial,223,98.0,2.0
exponential,223,97.0,3.0
poisson,223,100.0,0.0
laplace,223,98.0,2.0
logistic,223,100.0,0.0
uniform,223,100.0,0.0
rayleigh,223,99.0,1.0
normal,233,99.0,1.0
binomial,233,99.0,1.0
exponential,233,99.0,1.0
poisson,233,100.0,0.0
laplace,233,100.0,0.0
logistic,233,99.0,1.0
uniform,233,100.0,0.0
rayleigh,233,100.0,0.0
normal,243,100.0,0.0
binomial,243,97.0,3.0
exponential,243,99.0,1.0
poisson,243,99.0,1.0
laplace,243,100.0,0.0
logistic,243,99.0,1.0
uniform,243,99.0,1.0
rayleigh,243,99.0,1.0
normal,253,100.0,0.0
binomial,253,98.0,2.0
exponential,253,99.0,1.0
poisson,253,100.0,0.0
laplace,253,100.0,0.0
logistic,253,99.0,1.0
uniform,253,100.0,0.0
rayleigh,253,99.0,1.0
normal,263,100.0,0.0
binomial,263,99.0,1.0
exponential,263,100.0,0.0
poisson,263,100.0,0.0
laplace,263,100.0,0.0
logistic,263,100.0,0.0
uniform,263,100.0,0.0
rayleigh,263,100.0,0.0
normal,273,100.0,0.0
binomial,273,99.0,1.0
exponential,273,100.0,0.0
poisson,273,100.0,0.0
laplace,273,100.0,0.0
logistic,273,100.0,0.0
uniform,273,99.0,1.0
rayleigh,273,100.0,0.0
normal,283,99.0,1.0
binomial,283,100.0,0.0
exponential,283,100.0,0.0
poisson,283,100.0,0.0
laplace,283,100.0,0.0
logistic,283,100.0,0.0
uniform,283,100.0,0.0
rayleigh,283,100.0,0.0
normal,293,100.0,0.0
binomial,293,99.0,1.0
exponential,293,98.0,2.0
poisson,293,98.0,2.0
laplace,293,100.0,0.0
logistic,293,100.0,0.0
uniform,293,100.0,0.0
rayleigh,293,100.0,0.0
normal,303,100.0,0.0
binomial,303,100.0,0.0
exponential,303,100.0,0.0
poisson,303,100.0,0.0
laplace,303,100.0,0.0
logistic,303,99.0,1.0
uniform,303,100.0,0.0
rayleigh,303,100.0,0.0
normal,313,99.0,1.0
binomial,313,100.0,0.0
exponential,313,100.0,0.0
poisson,313,100.0,0.0
laplace,313,100.0,0.0
logistic,313,100.0,0.0
uniform,313,100.0,0.0
rayleigh,313,100.0,0.0
normal,323,100.0,0.0
binomial,323,100.0,0.0
exponential,323,100.0,0.0
poisson,323,100.0,0.0
